,price,total_area,rooms,ceiling_height,floors_total,living_area,floor,studio,kitchen_area,floor_coef,is_balcony,is_first_floor,is_last_floor,is_park_near,is_airport_near,is_center_near,is_pond_near,is_one_room,is_two_room,is_three_room,is_apartaments
104,3400000.0,71.1,3,2.5,5,41.9,4,False,9.0,0.8,True,False,False,False,False,False,False,False,False,True,False
105,2699000.0,33.0,1,2.5,9,19.0,7,False,6.0,0.7777777777777778,True,False,False,False,False,False,False,True,False,False,False
106,3150000.0,31.0,1,2.72,25,17.87,6,False,9.54,0.24,True,False,False,False,False,False,False,True,False,False,False
107,3800000.0,33.7,1,2.65,17,15.1,3,False,7.3,0.17647058823529413,True,False,False,False,False,False,True,True,False,False,False
108,4800000.0,40.0,2,2.75,3,29.0,2,False,6.0,0.6666666666666666,True,False,False,False,False,True,True,False,True,False,False
109,2200000.0,31.0,1,2.5,5,17.0,3,False,5.5,0.6,True,False,False,False,False,False,False,True,False,False,False
110,6500000.0,32.6,1,2.72,5,18.5,5,False,5.5,1.0,True,False,True,False,False,False,False,True,False,False,False
111,2990000.0,30.0,1,2.5,9,20.0,9,False,5.6,1.0,False,False,True,False,False,False,True,True,False,False,False
112,2450000.0,27.0,1,2.72,24,15.5,2,True,9.54,0.08333333333333333,True,False,False,False,False,False,False,True,False,False,False
113,8290000.0,77.0,2,2.77,16,40.0,5,False,10.0,0.3125,True,False,False,False,False,False,True,False,True,False,False
114,4400000.0,53.6,2,2.55,10,29.2,10,False,7.8,1.0,True,False,True,True,False,False,True,False,True,False,False
115,4790000.0,35.5,1,2.65,25,17.0,20,False,9.0,0.8,True,False,False,False,False,False,True,True,False,False,False
116,5300000.0,53.0,2,2.65,12,31.5,6,False,7.6,0.5,True,False,False,True,False,False,True,False,True,False,False
117,3900000.0,45.0,2,2.75,5,29.0,3,False,6.0,0.6,True,False,False,False,False,False,False,False,True,False,False
118,2950000.0,44.9,2,2.75,5,28.0,3,False,5.4,0.6,True,False,False,False,False,False,False,False,True,False,False
119,8090000.0,81.22,3,2.64,24,42.9,10,False,12.72,0.4166666666666667,True,False,False,False,False,False,True,False,False,True,False
120,4350000.0,55.0,2,2.57,9,31.2,2,False,8.3,0.2222222222222222,False,False,False,True,False,False,False,False,True,False,False
121,7250000.0,75.75,2,2.7,22,40.61,3,False,15.0,0.13636363636363635,True,False,False,False,False,False,False,False,True,False,False
122,3100000.0,47.3,2,2.75,5,27.5,2,False,8.5,0.4,True,False,False,False,False,False,False,False,True,False,False
123,3300000.0,41.9,1,2.72,7,15.4,7,False,12.4,1.0,True,False,True,False,False,False,True,True,False,False,False
124,5000000.0,42.9,1,2.75,23,18.9,8,False,7.9,0.34782608695652173,True,False,False,True,False,False,False,True,False,False,False
125,5600000.0,66.0,3,2.5,9,48.0,9,False,6.3,1.0,True,False,True,True,False,False,False,False,False,True,False
126,6500000.0,67.4,3,2.65,17,40.1,6,False,10.3,0.35294117647058826,True,False,False,False,False,False,True,False,False,True,False
127,800000.0,40.3,2,2.75,3,30.0,1,False,9.95,0.3333333333333333,True,True,False,False,False,False,False,False,True,False,False
128,7430000.0,60.2,2,2.5,4,31.69,2,False,10.2,0.5,True,False,False,False,False,False,False,False,True,False,False
129,2300000.0,60.0,2,2.75,3,31.69,1,False,9.95,0.3333333333333333,True,True,False,False,False,False,False,False,True,False,False
130,3750000.0,35.1,1,2.75,23,15.9,1,False,9.8,0.043478260869565216,True,True,False,False,False,False,True,True,False,False,False
131,2250000.0,73.0,3,2.77,5,43.4,5,False,8.4,1.0,True,False,True,False,False,False,False,False,False,True,False
132,1400000.0,73.5,3,2.6,5,46.0,5,False,8.0,1.0,True,False,True,False,False,False,False,False,False,True,False
133,3800000.0,49.0,2,2.5,9,38.0,8,False,10.0,0.8888888888888888,True,False,False,False,False,False,False,False,True,False,False
134,3570000.0,73.3,3,2.5,5,47.4,3,False,8.3,0.6,True,False,False,False,False,False,False,False,False,True,False
135,11000000.0,97.9,3,2.75,16,57.7,3,False,14.7,0.1875,True,False,False,False,False,False,False,False,False,True,False
136,2100000.0,31.6,1,2.72,5,17.5,4,False,5.5,0.8,True,False,False,False,False,False,False,True,False,False,False
137,2550000.0,52.0,2,2.6,5,31.0,3,False,10.0,0.6,True,False,False,False,False,False,False,False,True,False,False
138,3850000.0,31.7,1,2.5,5,17.9,2,False,5.6,0.4,True,False,False,False,False,False,False,True,False,False,False
139,3400000.0,60.0,3,2.5,5,44.1,1,False,6.0,0.2,True,True,False,False,False,False,False,False,False,True,False
140,3000000.0,43.8,2,2.7,5,27.7,2,False,5.5,0.4,False,False,False,False,False,False,False,False,True,False,False
141,4300000.0,52.3,2,2.75,12,29.8,4,False,10.9,0.3333333333333333,True,False,False,False,False,False,False,False,True,False,False
142,4600000.0,38.5,1,2.5,12,18.5,5,False,9.54,0.4166666666666667,True,False,False,True,False,False,False,True,False,False,False
143,6150000.0,62.0,3,2.77,9,41.5,5,False,8.5,0.5555555555555556,True,False,False,True,False,False,False,False,False,True,False
144,5200000.0,62.8,3,2.77,9,39.7,2,False,9.7,0.2222222222222222,False,False,False,False,False,False,True,False,False,True,False
145,6400000.0,55.8,3,2.5,9,38.0,2,False,7.7,0.2222222222222222,True,False,False,False,False,False,False,False,False,True,False
146,3270000.0,39.4,1,2.72,24,19.2,9,False,11.0,0.375,False,False,False,False,False,False,False,True,False,False,False
147,7700000.0,85.0,3,2.7,10,50.0,1,False,11.0,0.1,True,True,False,False,False,False,True,False,False,True,False
148,5300000.0,60.0,3,2.77,9,47.36,4,False,11.28,0.4444444444444444,False,False,False,True,False,False,True,False,False,True,False
149,8715960.0,57.0,1,2.72,5,20.0,5,False,16.0,1.0,False,False,True,True,False,False,True,True,False,False,False
150,1600000.0,46.0,2,2.75,5,31.69,2,False,9.95,0.4,True,False,False,False,False,False,False,False,True,False,False
151,2900000.0,35.0,1,2.7,17,16.1,17,False,8.3,1.0,True,False,True,False,False,False,False,True,False,False,False
152,3735325.0,37.4,1,2.73,12,17.0,4,False,9.54,0.3333333333333333,True,False,False,False,False,False,False,True,False,False,False
153,9150000.0,98.3,3,2.84,13,60.3,11,False,12.5,0.8461538461538461,True,False,False,False,False,False,True,False,False,True,False
154,4700000.0,67.0,3,2.7,9,43.4,1,False,8.8,0.1111111111111111,True,True,False,False,False,False,False,False,False,True,False
155,3999000.0,34.1,1,2.7,25,14.47,12,False,10.4,0.48,False,False,False,False,False,False,False,True,False,False,False
156,3600000.0,44.2,2,2.5,9,27.0,3,False,6.3,0.3333333333333333,True,False,False,False,False,False,True,False,True,False,False
157,1980000.0,30.6,1,2.56,5,17.4,4,False,5.7,0.8,True,False,False,False,False,False,False,True,False,False,False
158,5080000.0,31.3,1,2.5,7,16.0,4,False,7.6,0.5714285714285714,True,False,False,True,False,False,True,True,False,False,False
159,9000000.0,72.6,2,2.9,5,43.2,4,False,11.4,0.8,True,False,False,True,False,True,True,False,True,False,False
160,2450000.0,42.5,1,2.6,5,17.2,5,False,8.4,1.0,True,False,True,False,False,False,False,True,False,False,False
161,4700000.0,45.0,2,2.5,9,27.4,4,False,8.6,0.4444444444444444,True,False,False,False,False,False,False,False,True,False,False
162,4300000.0,58.5,2,2.75,9,28.73,7,False,11.24,0.7777777777777778,True,False,False,False,False,False,True,False,True,False,False
163,8000000.0,54.0,2,2.77,18,31.0,10,False,11.0,0.5555555555555556,True,False,False,False,False,False,False,False,True,False,False
164,10018000.0,82.0,3,2.77,23,47.0,9,False,13.0,0.391304347826087,True,False,False,True,False,False,True,False,False,True,False
165,4150000.0,50.41,2,2.5,9,31.1,8,False,7.0,0.8888888888888888,True,False,False,True,False,False,False,False,True,False,False
166,3700000.0,67.0,3,2.7,9,42.2,8,False,5.5,0.8888888888888888,True,False,False,False,False,False,False,False,False,True,False
167,6700000.0,65.6,2,2.55,10,36.7,10,False,10.9,1.0,True,False,True,True,False,False,True,False,True,False,False
